"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0F0C0","2019-07-11 00:00:00","983.000","177.000","2.200","20.400","0.990","901.700","-99.000","12.500","-99.000","-99.000","-99.000","26.000","","20.400",""
"C0D480","2019-07-11 00:00:00","223.000","0.000","0.000","25.000","0.930","981.500","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","25.000",""
"C0K291","2019-07-11 00:00:00","8.000","160.000","1.900","26.700","0.880","1007.900","-99.000","16.000","-99.000","-99.000","-99.000","30.100","","26.100",""
"C0X170","2019-07-11 00:00:00","50.000","143.000","1.900","24.900","0.980","1003.300","-99.000","98.500","-99.000","-99.000","-99.000","31.300","","24.900",""
"C0AH30","2019-07-11 00:00:00","755.000","89.000","1.800","23.200","0.990","924.600","-99.000","0.000","-99.000","-99.000","-99.000","28.300","","4.800",""
"C0R130","2019-07-11 00:00:00","1040.000","249.000","1.000","19.800","0.990","896.500","-99.000","90.500","-99.000","-99.000","-99.000","22.400","","19.800",""
"C0M790","2019-07-11 00:00:00","15.000","196.000","0.900","26.200","0.880","1005.800","-99.000","28.000","-99.000","-99.000","-99.000","30.300","","25.400",""
"C0E530","2019-07-11 00:00:00","341.000","224.000","1.200","25.200","0.880","969.600","-99.000","6.500","-99.000","-99.000","-99.000","31.000","","24.600",""
"C0I520","2019-07-11 00:00:00","3860.000","-99.000","-99.000","6.500","0.840","643.000","-99.000","-99.000","-99.000","-99.000","-99.000","7.600","","3.600",""
"C0C590","2019-07-11 00:00:00","72.000","201.000","1.900","27.700","0.770","998.100","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","27.600",""
"C0G780","2019-07-11 00:00:00","27.000","150.000","2.100","26.900","0.860","1004.800","-99.000","4.000","-99.000","-99.000","-99.000","31.800","","26.500",""
"C0V660","2019-07-11 00:00:00","25.000","94.000","2.200","24.800","0.990","1007.800","-99.000","66.500","-99.000","-99.000","-99.000","31.200","","24.800",""
"C0F9R0","2019-07-11 00:00:00","20.000","175.000","2.500","26.700","1.000","1006.500","-99.000","24.500","-99.000","-99.000","-99.000","32.100","","25.300",""
"C0W130","2019-07-11 00:00:00","18.000","162.000","6.200","26.200","0.910","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","27.900","","25.600",""
"C0R100","2019-07-11 00:00:00","1006.000","1.000","1.000","20.300","0.990","902.400","-99.000","126.500","-99.000","-99.000","-99.000","23.100","","20.300",""
"C0X120","2019-07-11 00:00:00","28.000","134.000","2.400","25.500","0.990","-99.000","-99.000","95.500","-99.000","-99.000","-99.000","31.500","","24.100",""
"C0W110","2019-07-11 00:00:00","16.000","17.000","2.800","20.800","0.930","1005.400","-99.000","10.000","-99.000","-99.000","-99.000","25.000","","20.700",""
"CM0130","2019-07-11 00:00:00","11.000","121.000","4.500","26.300","0.880","1008.400","-99.000","31.500","-99.000","-99.000","-99.000","30.400","","25.300",""
"C0AC70","2019-07-11 00:00:00","71.000","115.000","0.400","29.000","0.780","999.200","-99.000","0.000","-99.000","-99.000","-99.000","36.100","","27.100",""
"CM0100","2019-07-11 00:00:00","25.000","220.000","1.700","29.800","0.640","1004.000","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","28.200",""
"C0X050","2019-07-11 00:00:00","25.000","147.000","2.500","24.800","0.970","1005.100","-99.000","57.000","-99.000","-99.000","-99.000","29.800","","24.700",""
"C0K580","2019-07-11 00:00:00","26.000","160.000","1.400","26.000","0.910","1006.400","-99.000","26.000","-99.000","-99.000","-99.000","30.500","","25.800",""
"C0G650","2019-07-11 00:00:00","34.000","0.000","0.000","25.800","0.990","1004.300","-99.000","23.000","-99.000","-99.000","-99.000","33.100","","25.300",""
"C0T9B0","2019-07-11 00:00:00","558.000","231.000","0.600","25.200","0.750","947.600","-99.000","0.000","-99.000","-99.000","-99.000","28.800","","23.300",""
"C0E850","2019-07-11 00:00:00","104.000","241.000","3.100","29.000","0.710","994.800","-99.000","0.500","-99.000","-99.000","-99.000","33.800","","26.400",""
"C0S990","2019-07-11 00:00:00","409.000","241.000","4.300","26.000","0.880","964.100","-99.000","16.500","9.400","230.000","","-999.000","","-999.000",""
"C0X240","2019-07-11 00:00:00","394.000","166.000","1.700","24.600","0.900","966.100","-99.000","43.000","-99.000","-99.000","-99.000","29.300","","23.400",""
"C0I090","2019-07-11 00:00:00","910.000","224.000","1.300","21.700","1.000","911.000","-99.000","2.500","-99.000","-99.000","-99.000","26.700","","21.500",""
"C0I490","2019-07-11 00:00:00","1601.000","160.000","1.400","17.600","0.990","841.500","-99.000","5.000","-99.000","-99.000","-99.000","25.600","","17.100",""
"C0Z050","2019-07-11 00:00:00","830.000","281.000","0.300","23.600","0.910","920.300","-99.000","0.000","-99.000","-99.000","-99.000","30.000","","20.900",""
"C0X150","2019-07-11 00:00:00","18.000","134.000","1.300","25.700","1.000","1008.500","-99.000","119.000","-99.000","-99.000","-99.000","32.100","","25.000",""
"C0U720","2019-07-11 00:00:00","1260.000","184.000","2.000","25.000","0.590","884.500","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","20.700",""
"C0W140","2019-07-11 00:00:00","21.000","205.000","3.300","26.100","0.940","1004.800","-99.000","10.000","-99.000","-99.000","-99.000","28.000","","25.700",""
"C0G660","2019-07-11 00:00:00","27.000","141.000","1.600","25.800","0.950","1006.600","-99.000","10.500","-99.000","-99.000","-99.000","32.500","","25.700",""
